0 #  -88.6,-134.4, 3.0,100.0, 147.7,-176.0 #   98.5,-176.4, 3.4,285.0,-144.9,-111.2
1 #  -55.1,-228.6, 3.0, 35.0,  86.0, -27.1 #  -99.9,-153.5, 3.1, 88.0, 149.9,-144.8
2 #   17.2, -61.7, 3.0,191.0, -28.6,-297.2 #  -15.3,-246.8, 3.3,  9.0,  23.5,  -1.8
3 #   91.8,-156.4, 3.0,274.0,-149.6,-139.5 #   21.6,-243.5, 3.1,347.0, -33.7,  -3.8
4 #  -82.1, -94.6, 3.0,124.0, 124.4,-233.9 #    9.7,-242.5, 2.8,354.0, -15.7,  -0.8
5 #   85.4,-191.6, 3.0,296.0,-134.8, -84.2 #   84.4,-209.1, 3.3,305.0,-122.9, -64.0
6 #   -3.6,-253.9, 3.0,  2.0,   5.2,  -0.1 #  -41.8, -68.0, 2.7,153.0,  68.1,-283.7
7 #   86.1,-123.7, 3.0,253.0,-143.4,-193.9 #   95.1,-136.6, 3.2,262.0,-148.5,-170.9
8 #  -92.6,-205.6, 3.0, 59.0, 128.6, -72.7 #   21.6, -48.3, 2.9,192.0, -31.2,-296.7
9 #  -49.8, -56.4, 3.0,152.0,  70.4,-282.4 #   77.1, -98.0, 2.6,236.0,-124.4,-233.9
10 #   84.3,-110.7, 3.0,245.0,-135.9,-213.4 #  -30.0,-254.8, 3.5, 16.0,  41.3,  -5.8
11 #   89.5, -89.6, 3.0,236.0,-124.4,-233.9 #    4.7,-239.9, 2.5,357.0,  -7.9,  -0.2
12 #   12.9,-242.1, 3.0,352.0, -20.9,  -1.5 #   71.7, -83.2, 3.2,227.0,-109.7,-252.3
13 #  -14.5, -47.0, 3.0,172.0,  20.9,-298.5 #  -83.1,-102.0, 2.8,120.0, 129.9,-225.0
14 #   90.8,-156.3, 3.0,274.0,-149.6,-139.5 #  -85.9, -82.9, 3.6,128.0, 118.2,-242.3
15 #  106.0,-135.1, 3.0,262.0,-148.5,-170.9 #   29.6,-236.0, 2.6,341.0, -48.8,  -8.2
16 #  -74.2,-224.2, 3.0, 45.0, 106.1, -43.9 #  103.8,-124.1, 3.1,256.0,-145.5,-186.3
17 #   -7.1,-251.8, 3.0,  4.0,  10.5,  -0.4 #  -77.7,-212.9, 2.9, 51.0, 116.6, -55.6
18 #   78.8,-195.5, 3.0,300.0,-129.9, -75.0 #  -83.5, -84.7, 3.5,128.0, 118.2,-242.3
19 #  -80.3, -93.8, 3.0,125.0, 122.9,-236.0 #  -32.2,-243.6, 3.0, 19.0,  48.8,  -8.2
20 #  -87.5,-101.5, 3.0,119.0, 131.2,-222.7 # -101.0,-148.2, 3.0, 91.0, 150.0,-152.6
21 #  -99.3,-162.2, 3.0, 83.0, 148.9,-131.7 #   82.1, -94.6, 3.0,236.0,-124.4,-233.9
22 #   75.4, -99.1, 3.0,236.0,-124.4,-233.9 #   20.8, -43.0, 3.6,191.0, -28.6,-297.2
23 #  -62.5,-214.7, 3.0, 44.0, 104.2, -42.1 #   90.1,-162.7, 3.0,278.0,-148.5,-129.1
24 #  -77.7,-225.0, 3.0, 46.0, 107.9, -45.8 #  -47.4,-239.2, 2.8, 28.0,  70.4, -17.6
25 #   77.7,-217.6, 3.0,311.0,-113.2, -51.6 #  -92.1,-162.9, 2.7, 82.0, 148.5,-129.1
26 #   50.5, -62.5, 3.0,210.0, -75.0,-279.9 #  -97.8,-143.2, 2.9, 94.0, 149.6,-160.5
27 #   24.0,-246.1, 3.0,346.0, -36.3,  -4.5 #   59.8, -76.2, 2.9,219.0, -94.4,-266.6
28 #    3.4, -52.1, 3.0,182.0,  -5.2,-299.9 #  -96.0,-148.3, 2.9, 91.0, 150.0,-152.6
29 #   57.2,-238.1, 3.0,327.0, -81.7, -24.2 #  -83.0,-105.9, 2.7,118.0, 132.4,-220.4
30 #    1.6, -57.0, 3.0,181.0,  -2.6,-300.0 #   94.5,-159.9, 3.1,276.0,-149.2,-134.3
31 #  -88.4,-187.5, 3.0, 67.0, 138.1, -91.4 #   72.8,-222.8, 3.2,315.0,-106.1, -43.9
32 #   53.9, -73.0, 3.0,215.0, -86.0,-272.9 #   57.0, -71.5, 3.1,216.0, -88.2,-271.4
33 #   80.5,-194.6, 3.0,299.0,-131.2, -77.3 #   35.6,-233.8, 3.0,337.0, -58.6, -11.9
34 #   75.4,-200.9, 3.0,304.0,-124.4, -66.1 #   43.8,-239.9, 3.3,334.0, -65.8, -15.2
35 #   21.8, -55.5, 3.0,193.0, -33.7,-296.2 #  -66.8,-221.7, 3.0, 43.0, 102.3, -40.3
36 #  -74.8, -77.8, 3.0,134.0, 107.9,-254.2 #   -8.0, -58.4, 2.7,175.0,  13.1,-299.4
37 #  -23.2, -56.9, 3.0,166.0,  36.3,-295.5 #  -31.6, -58.3, 3.0,161.0,  48.8,-291.8
38 #  -92.9,-169.8, 3.0, 78.0, 146.7,-118.8 #  -34.8, -48.8, 3.4,161.0,  48.8,-291.8
39 #   20.8,-247.8, 3.0,348.0, -31.2,  -3.3 #  -56.6, -74.9, 2.8,143.0,  90.3,-269.8
