0 #   17.2,-247.5, 3.0,350.0, -26.0,  -2.3 #   88.1,-185.6, 2.9,292.0,-139.1, -93.8 #  -92.8,-156.5, 2.8, 86.0, 149.6,-139.5
1 #   96.2,-168.7, 3.0,281.0,-147.2,-121.4 # -103.6,-140.9, 3.2, 95.0, 149.4,-163.1 #  -75.5, -77.1, 3.2,134.0, 107.9,-254.2
2 #   88.2, -85.9, 3.0,234.0,-121.4,-238.2 #  -94.1,-108.1, 2.8,114.0, 137.0,-211.0 #  -64.9, -75.3, 2.7,139.0,  98.4,-263.2
3 #  103.7,-133.6, 3.0,261.0,-148.2,-173.5 #   22.0,-245.5, 2.8,347.0, -33.7,  -3.8 #   -9.2,-255.6, 3.0,  5.0,  13.1,  -0.6
4 # -108.7,-142.4, 3.0, 94.0, 149.6,-160.5 #  100.4,-180.7, 2.9,287.0,-143.4,-106.1 #  106.7,-166.9, 3.0,279.0,-148.2,-126.5
5 #  -39.7, -51.7, 3.0,158.0,  56.2,-289.1 #  -65.5, -79.8, 2.7,137.0, 102.3,-259.7 #  -36.3,-239.9, 2.7, 22.0,  56.2, -10.9
6 #  -50.9,-231.4, 3.0, 32.0,  79.5, -22.8 #  -64.3, -76.0, 3.1,139.0,  98.4,-263.2 #   70.0,-220.0, 3.1,315.0,-106.1, -43.9
7 #  -22.9,-249.4, 3.0, 13.0,  33.7,  -3.8 # -100.0,-178.7, 3.1, 74.0, 144.2,-108.7 #  -41.4, -61.2, 2.9,155.0,  63.4,-285.9
8 #  -11.4, -41.6, 3.0,174.0,  15.7,-299.2 #  103.9,-144.6, 2.9,267.0,-149.8,-157.9 # -105.4,-138.9, 2.9, 96.0, 149.2,-165.7
9 #  -76.7, -92.2, 3.0,127.0, 119.8,-240.3 #  -66.9,-227.0, 3.2, 41.0,  98.4, -36.8 #   83.7,-206.5, 3.2,304.0,-124.4, -66.1
10 #  -75.7, -71.6, 3.0,136.0, 104.2,-257.9 #  -17.1, -42.3, 3.0,171.0,  23.5,-298.2 #   71.3, -85.8, 2.6,228.0,-111.5,-250.4
11 #  -31.8,-248.0, 3.0, 18.0,  46.4,  -7.3 #   18.9, -52.8, 2.9,191.0, -28.6,-297.2 #  -95.1,-136.6, 2.8, 98.0, 148.5,-170.9
12 #  -24.0,-246.1, 3.0, 14.0,  36.3,  -4.5 #   92.7,-100.7, 3.2,242.0,-132.4,-220.4 #  -22.5,-255.6, 3.3, 12.0,  31.2,  -3.3
13 #  -54.0, -56.5, 3.0,150.0,  75.0,-279.9 #  -88.9,-164.1, 2.5, 81.0, 148.2,-126.5 #  -38.2, -55.4, 2.8,158.0,  56.2,-289.1
14 #  -10.5,-249.5, 3.0,  6.0,  15.7,  -0.8 #  105.0,-129.6, 3.2,259.0,-147.2,-178.6 #   95.9,-155.0, 2.9,273.0,-149.8,-142.1
15 #  102.9,-155.4, 3.0,273.0,-149.8,-142.1 #   74.1,-221.5, 3.0,314.0,-107.9, -45.8 #   50.5,-234.0, 2.9,329.0, -77.3, -21.4
16 # -106.4,-131.2, 3.0,100.0, 147.7,-176.0 #  -80.8, -79.8, 3.0,131.0, 113.2,-248.4 #   58.5,-219.7, 2.5,320.0, -96.4, -35.1
17 #  -62.5, -85.3, 3.0,136.0, 104.2,-257.9 #   16.1,-251.7, 3.4,351.0, -23.5,  -1.8 #   83.7,-206.5, 3.4,304.0,-124.4, -66.1
18 #  -67.3,-233.2, 3.0, 39.0,  94.4, -33.4 #  -77.8,-204.5, 2.7, 55.0, 122.9, -64.0 #   87.2,-185.2, 2.6,292.0,-139.1, -93.8
19 #   90.0,-204.1, 3.0,301.0,-128.6, -72.7 #  -71.5,-207.9, 2.6, 51.0, 116.6, -55.6 #   54.2,-221.9, 2.6,323.0, -90.3, -30.2
